Customer ID,Customer Name,Customer Email,Account Balance
ad2d8739-9290-4035-b347-a5515aea56ce,Jacqueline Phillips,adunn@example.org,84597.76
373bfdcb-f028-4d38-a5ab-cbe957f48dff,Sarah Lee,carneycharlotte@example.org,76037.49
a1742670-e475-4099-a904-23128ab1ecad,Lisa Reid,williamsdonna@example.org,42636.59
4d6f7d83-0442-49e7-9070-c86bd0b05513,Joseph Schwartz,igraves@example.net,26632.76
4db43b79-14d3-4fe3-83cd-0377576f386f,Mary Patel,vanessamartinez@example.org,51616.2
e6f5d6fd-631d-4021-8fad-aa0066465f63,Paul Adams,fmercado@example.net,41088.48
1573232e-c3c7-414d-af4e-2e890c6f0da8,Frederick Dougherty,smccall@example.org,78596.06
7b2b8d39-ab55-4608-aef5-5a5653ad3946,Donald Sharp,toddfry@example.com,31027.96
855d5466-4942-4ccb-8cfd-8a3250228f31,Dalton Brown,rebecca44@example.com,48183.1
6c1eb729-69db-451f-ba90-3d64968d379d,Adam Copeland,esmith@example.org,58754.82
14321cf6-a120-4417-82f0-5dcf3b227ed8,Rachel Mays,ashleyponce@example.com,90903.18
252187d0-b774-4757-84e9-528cd248d201,Richard Collins Jr.,maria77@example.net,50964.0
6b098903-1f5d-4732-b618-7a23db06e3a9,Deborah Craig,saramorton@example.com,28901.95
28e57956-e802-4ca4-9fa1-000bab87a863,Alexis Rodriguez,cdean@example.com,75824.62
134263e3-405a-47af-8676-9ed70450c9f7,Eric Krause,lopezjacqueline@example.net,62218.53
bd481b5f-80e7-4be9-b119-a5303cd6445c,Thomas Huynh,aaronmassey@example.net,25800.13
d67038b6-c913-42d9-b235-b8bed8f89633,Carl Grant,carolinephillips@example.net,91064.88
f42b918f-c5f6-4fbc-b3b5-1a0d989e44e3,Robert Henry,dmueller@example.com,98295.76
76254ade-6dc9-456a-b739-bb16a5e436f3,Natasha Walker,georgesantos@example.net,81211.51
9501c4b7-b54d-41dc-95ac-3b1aefa6ea0c,Stacy Coleman,harrisandrew@example.net,90314.43
9779dca4-49ba-449f-a9f1-b233f733561d,Latasha King,fmills@example.org,31704.61
d732272b-bcba-414d-9171-c116c6729d7a,Kyle Robertson,jacobmcguire@example.net,73253.34
fe193244-b6d9-40b2-9cb1-7dd2a089e000,Jeffrey Salazar,paula80@example.org,89984.99
8c62d6ed-87da-43e9-9ec3-2bb2df9eddf4,Tammy Robinson,jeremyrichardson@example.net,68714.41
d1168018-8e38-46a5-9bbe-bef5dd201e7b,Dillon Newman,donnacarter@example.net,47742.13
a036fc4d-fb85-4089-91f7-e7abcbeb855d,Kyle Christensen,justin02@example.com,10969.42
a0ee4e34-ecde-4600-a046-ad8355edb2b0,Nicholas Martinez,rrhodes@example.com,43983.01
dd01e9f0-f8d2-4007-a6bc-0db977916bf7,Cheryl Brown,barrydavid@example.org,61477.81
a9a3e322-8374-4a25-8c65-66c32a442f3b,Mark Smith,peter98@example.com,91388.09
2be16bf9-695d-4bf5-80d2-05683da2a285,Leslie Russell,michael29@example.org,96694.03
7f5f1a3a-7f1d-44a0-a25a-8b96b1ea36c5,Jessica Adkins,wshah@example.com,48223.97
b0d1b897-cf6a-4b81-aaaa-5b99b7f301ad,Jonathan Perkins,zsmith@example.com,86665.68
a2dcc621-b4a5-46e5-8354-ea770b495194,Jason Knox,qgay@example.com,26788.74
f92168de-995b-408d-afba-75526c108f09,Kenneth Shaffer,eduncan@example.org,80697.75
f970b3b9-0f40-496b-a5e2-3221e936ab27,Jo Clark,kdoyle@example.org,55321.23
8941c7cc-d361-416b-8cef-8a7762f6c05a,John Tucker,cartervirginia@example.net,2390.13
d58c2fa9-893c-4ba1-a846-4b81382ffad0,Jason Cochran,tpowers@example.com,72250.76
6cde1b15-930e-418c-b046-e8bc82cebe16,Tracy Thomas,daniel99@example.org,40483.53
a757f5b5-1920-4e2e-b136-1d9aab5361ea,Kelly Blankenship,anna69@example.com,82659.65
82e75c0e-2885-4877-91db-e266aa9734cc,Mark Sims,ireese@example.org,67147.17
0a108e1c-9d19-4e25-b1cd-99723028f46f,Samuel Pena,maryrusso@example.org,1113.14
3546e021-2c04-44fe-8a03-5fb335d0cc38,Samuel Flores,carlsonbetty@example.org,49864.21
656bffef-ce6b-430f-9d04-0f4fb34496fe,Gregory Steele,austin85@example.com,86892.67
19904a45-d3d7-49c0-835d-42f3e6548922,Dr. Mary Baker MD,daniel92@example.com,25147.18
96dfa325-72b1-4dc7-9fcc-d9df4a847c94,Jeffrey Jenkins,jamesbarnett@example.com,33195.23
